date,ticker,close,volume,short_volume,short_exempt_volume,short_ratio_pct,short_interest,days_to_cover,borrow_fee_pct,utilization_pct,rebate_rate_pct,shares_outstanding,avg_daily_volume,fail_to_deliver,dark_pool_short_volume,dark_pool_short_ratio_pct,price_change_pct,squeeze_score,sentiment_tag,market_cap,exchange,country,data_type
2025-08-26,AAPL,12061,774054,114850,933,14.84,686104341,940.78,3.14,60.21,-1.08,4688907243,729296,7314,37176,4.8,1.86,100,squeeze_watch,56552910257823,NASDAQ,US,short_interest
2025-08-27,AAPL,11912,500243,148813,1311,29.75,138609768,245.34,4.59,83.58,-0.06,1712566552,564971,7425,22818,4.56,1.92,100,bearish,20400092767424,NYSE,US,short_interest
2025-08-28,AAPL,12065,326292,51562,905,15.8,324275706,726.44,2.44,67.15,0.56,2246073631,446390,2314,18174,5.57,0.55,100,squeeze_watch,27098878358015,NASDAQ,US,short_interest
2025-08-29,AAPL,12203,1209040,346681,2710,28.67,322561839,208.34,1.46,64.7,0.7,2538650731,1548217,14517,120385,9.96,1.95,100,highly_bearish,30979154870393,NASDAQ,US,short_interest
2025-09-01,AAPL,12394,735419,72938,503,9.92,49058575,72.12,0.05,96.19,-1.23,1577786305,680251,17338,39779,5.41,-4.15,100,volatile,19555083464170,NYSE,US,short_interest
2025-09-02,AAPL,12593,300000,95644,695,31.88,176736601,466.44,1.57,88.8,-0.76,2280663810,378904,8255,17646,5.88,3.49,100,bearish,28720399359330,NASDAQ,US,short_interest
2025-09-03,AAPL,12448,551793,134202,457,24.32,14177883,19.19,3.25,67.13,-1.23,192073833,738848,16375,59418,10.77,-2.26,91.24,highly_bearish,2390935073184,NASDAQ,US,short_interest
2025-09-04,AAPL,12425,604126,176580,2432,29.23,222704028,278.63,1.67,84.67,-0.74,2469443988,799296,10371,51806,8.58,-2.26,100,squeeze_watch,30682841550900,NYSE,US,short_interest
2025-09-05,AAPL,12718,418161,33515,529,8.01,706290899,1997.27,1.39,77.96,-1.41,4474469785,353628,9000,6791,1.62,-3.16,100,volatile,56906306725630,NYSE,US,short_interest
2025-09-08,AAPL,11695,526746,179552,2585,34.09,46665489,99.33,2.08,93.15,-0.69,997146969,469807,4729,58435,11.09,-2.17,100,squeeze_watch,11661633802455,NYSE,US,short_interest
2025-09-09,AAPL,11496,677208,244754,1753,36.14,353042650,500.2,0.92,52.78,-1.27,2902208837,705798,5229,54749,8.08,-2.65,100,squeeze_watch,33363792790152,NASDAQ,US,short_interest
2025-09-10,AAPL,12170,603053,62968,802,10.44,82182260,163.16,2.94,97.27,0.58,2258663741,503677,11984,30279,5.02,3.39,100,bearish,27487937727970,NYSE,US,short_interest
2025-09-11,AAPL,12201,630631,263220,1030,41.74,391996095,569.63,1.57,70.02,0.26,2745699359,688158,249,45093,7.15,2.26,100,squeeze_watch,33500277879159,NYSE,US,short_interest
2025-09-12,AAPL,12045,908645,82444,1275,9.07,16323694,16.01,1.31,72.79,0.34,360228293,1019544,7673,36173,3.98,-2.1,64.61,squeeze_watch,4338949789185,NYSE,US,short_interest
2025-09-15,AAPL,12396,300000,97566,424,32.52,326179257,1047.76,2.49,50.4,-0.02,4058414301,311311,7369,43444,14.48,2.25,100,squeeze_watch,50308103675196,NYSE,US,short_interest
2025-09-16,AAPL,12118,307507,34807,263,11.32,85971991,207.53,2.18,94.15,0.17,1078298889,414265,3927,14273,4.64,-8.69,100,neutral,13066825936902,NYSE,US,short_interest
2025-09-17,AAPL,12200,673648,114756,254,17.04,74171826,102.83,1.46,83.24,-1.01,1339466696,721290,13955,46129,6.85,3.17,100,neutral,16341493691200,NYSE,US,short_interest
2025-09-18,AAPL,12240,300000,59793,973,19.93,699276785,2083.71,4.1,58.41,-0.68,3905261716,335592,6802,16564,5.52,-1.14,100,neutral,47800403403840,NASDAQ,US,short_interest
2025-09-19,AAPL,12070,544708,131352,1107,24.11,55110377,114.87,2.31,98.28,-0.62,3969427577,479771,12683,47613,8.74,-4.36,100,squeeze_watch,47910990854390,NASDAQ,US,short_interest
2025-09-22,AAPL,12784,414136,159659,1242,38.55,43314544,83.38,1.52,78.64,0.53,2091501451,519462,8754,57102,13.79,-4.12,100,neutral,26737754549584,NYSE,US,short_interest
2025-09-23,AAPL,11681,300000,29667,180,9.89,272362179,901.76,2.79,54.45,-0.33,4224372293,302035,6773,14724,4.91,1.28,100,squeeze_watch,49344892754533,NASDAQ,US,short_interest
2025-09-24,AAPL,12650,496138,182400,2451,36.76,88284064,201.37,3.63,66.23,0.4,4260422804,438420,14801,73477,14.81,2.13,100,highly_bearish,53894348470600,NYSE,US,short_interest
2025-09-25,AAPL,12249,649910,268345,3143,41.29,359999178,546.68,3.79,68.03,-0.58,2029015895,658518,16245,73638,11.33,-0.19,100,volatile,24853415697855,NYSE,US,short_interest
2025-09-26,AAPL,11949,300000,98785,1736,32.93,305875971,1166.71,2.47,92.26,0.28,4052277220,262170,1373,51661,17.22,0.6,100,neutral,48420660501780,NASDAQ,US,short_interest
2025-09-29,AAPL,12022,412179,72282,716,17.54,84293455,148.22,4.8,59.87,-0.05,707525732,568697,967,17663,4.29,-2.4,100,volatile,8505874350104,NYSE,US,short_interest
2025-09-30,AAPL,12285,851436,307754,4411,36.15,188181415,186.51,0.41,85.35,0.25,2304773163,1008987,13837,50957,5.98,-4.38,100,neutral,28314138307455,NYSE,US,short_interest
2025-10-01,AAPL,12254,300000,58204,1099,19.4,506380939,1743.95,0.16,98.96,-0.69,4739620603,290365,678,24759,8.25,4.0,100,bearish,58079310869162,NASDAQ,US,short_interest
2025-10-02,AAPL,12074,335292,59635,1011,17.79,11835953,33.01,3.17,98.46,0.44,954271820,358604,129,28597,8.53,4.39,100,bearish,11521877954680,NASDAQ,US,short_interest
2025-10-03,AAPL,12173,745644,248601,765,33.34,718050384,710.69,4.4,85.97,-0.83,4347944629,1010358,14791,109918,14.74,-6.04,100,bearish,52927529968817,NASDAQ,US,short_interest
2025-10-06,AAPL,12100,934998,382408,4567,40.9,502426738,599.89,1.38,91.3,-1.28,4343134965,837533,4514,207016,22.14,2.15,100,squeeze_watch,52551933076500,NYSE,US,short_interest
2025-10-07,AAPL,12192,589853,246140,4622,41.73,338132795,448.47,2.62,76.03,0.56,1913229823,753973,7753,73319,12.43,0.94,100,highly_bearish,23326098002016,NASDAQ,US,short_interest
2025-10-08,AAPL,12267,746240,155810,2270,20.88,119942753,118.03,1.08,77.62,0.15,3420656695,1016181,17316,35873,4.81,-3.8,100,highly_bearish,41961195677565,NASDAQ,US,short_interest
2025-10-09,AAPL,12196,381303,148625,1105,38.98,184487148,357.2,1.77,74.45,-0.45,1515523631,516476,10784,54027,14.17,1.41,100,bearish,18483326203676,NYSE,US,short_interest
2025-10-10,AAPL,12307,757300,170168,834,22.47,71857547,108.83,2.61,96.2,-0.01,429496125,660253,20767,49358,6.52,-4.78,100,neutral,5285808810375,NASDAQ,US,short_interest
2025-10-13,AAPL,11896,645344,52940,753,8.2,344301529,538.93,2.35,73.72,-0.39,3657635430,638861,17813,15863,2.46,-3.94,100,volatile,43511231075280,NYSE,US,short_interest
2025-10-14,AAPL,11909,400726,33072,239,8.25,101998078,198.1,2.26,66.26,0.12,2482142249,514872,122,16624,4.15,1.63,100,highly_bearish,29559832043341,NYSE,US,short_interest
2025-10-15,AAPL,12078,625952,74217,164,11.86,492503073,576.83,2.21,55.55,0.01,3793621954,853813,13506,34258,5.47,6.38,100,squeeze_watch,45819365960412,NYSE,US,short_interest
2025-10-16,AAPL,12013,408289,166647,1427,40.82,11032081,29.39,1.63,50.15,0.61,186296410,375335,946,75616,18.52,4.55,100,bearish,2237978773330,NYSE,US,short_interest
2025-10-17,AAPL,11883,664977,197765,2998,29.74,121067449,133.9,0.98,68.99,-0.61,1550059885,904136,16814,94856,14.26,-0.3,100,neutral,18419361613455,NASDAQ,US,short_interest
2025-10-20,AAPL,12313,431405,155475,1923,36.04,547506393,970.87,3.72,73.98,0.25,4446058040,563934,10540,24658,5.72,-5.55,100,neutral,54744312646520,NYSE,US,short_interest
2025-10-21,AAPL,11993,410195,156567,2085,38.17,57491803,141.67,1.36,77.57,-1.08,1446240143,405821,1383,59932,14.61,-3.41,100,neutral,17344758034999,NYSE,US,short_interest
2025-10-22,AAPL,12218,663127,86200,1170,13.0,90566007,123.0,0.05,77.53,-1.18,1682183363,736290,4059,29505,4.45,3.02,100,neutral,20552916329134,NYSE,US,short_interest
2025-10-23,AAPL,11883,656150,76594,704,11.67,137132242,259.22,3.0,77.36,-1.31,1382124190,529022,904,20220,3.08,-1.66,100,volatile,16423781749770,NASDAQ,US,short_interest
2025-10-24,AAPL,11973,524966,148422,496,28.27,366742279,756.26,0.47,60.2,0.25,4495031706,484940,13210,80859,15.4,-1.63,100,volatile,53819014615938,NYSE,US,short_interest
2025-10-27,AAPL,12004,429582,145456,2349,33.86,48682903,118.36,1.4,60.63,0.06,917207826,411298,4190,35434,8.25,4.51,100,highly_bearish,11010162743304,NASDAQ,US,short_interest
2025-10-28,AAPL,12126,439695,146831,2034,33.39,276068892,511.89,4.61,60.57,-0.78,4503215259,539315,1288,65609,14.92,-6.79,100,neutral,54605988230634,NASDAQ,US,short_interest
2025-10-29,AAPL,12132,1062110,150106,1068,14.13,618664918,482.67,2.72,64.99,-0.08,4972593015,1281748,5325,54785,5.16,-7.16,100,squeeze_watch,60327498457980,NASDAQ,US,short_interest
2025-10-30,AAPL,11806,331298,137245,289,41.43,70903397,254.66,0.7,95.64,0.64,611608381,278427,9371,35844,10.82,-0.65,100,bearish,7220648546086,NASDAQ,US,short_interest
2025-10-31,AAPL,12146,803725,238182,3065,29.63,504224310,538.58,2.29,45.8,-1.37,3441944051,936204,7357,113037,14.06,5.35,100,highly_bearish,41805852443446,NYSE,US,short_interest
2025-11-03,AAPL,11612,660931,57621,468,8.72,41951541,52.39,3.86,74.68,-0.55,499003451,800706,1468,10521,1.59,1.14,100,squeeze_watch,5794428073012,NASDAQ,US,short_interest
2025-11-04,AAPL,11854,724991,252329,1355,34.8,268388912,461.74,2.48,73.54,-1.34,3573403418,581257,17695,92478,12.76,-0.61,100,volatile,42359124116972,NYSE,US,short_interest
2025-11-05,AAPL,12119,300000,32001,306,10.67,313758852,961.63,1.26,86.94,0.04,4032713300,326277,4413,12866,4.29,-7.38,100,volatile,48872452482700,NYSE,US,short_interest
2025-11-06,AAPL,12434,1074920,182796,1930,17.01,55388219,38.33,1.86,67.82,0.37,2152612975,1444972,23937,94333,8.78,0.99,100,highly_bearish,26765589731150,NYSE,US,short_interest
2025-11-07,AAPL,12429,815314,77081,1223,9.45,172589197,161.08,2.94,47.06,-1.3,3344449094,1071430,12131,24795,3.04,-2.85,100,neutral,41568157789326,NASDAQ,US,short_interest
2025-11-10,AAPL,12337,300000,80989,212,27.0,514405967,1898.64,2.22,83.81,0.73,4457479476,270934,3688,22915,7.64,0.13,100,bearish,54991924295412,NASDAQ,US,short_interest
2025-11-11,AAPL,12360,348420,67958,946,19.5,452034109,1166.41,1.8,82.31,0.34,3527305184,387542,7583,28270,8.11,2.02,100,bearish,43597492074240,NASDAQ,US,short_interest
2025-11-12,AAPL,11669,611658,190638,2148,31.17,760981495,1529.34,4.65,84.83,-1.13,4471215239,497587,3346,63292,10.35,1.12,100,bearish,52174610623891,NYSE,US,short_interest
2025-11-13,AAPL,11847,543123,175958,3029,32.4,456197482,700.88,0.6,64.77,-0.05,3191717555,650891,7521,91593,16.86,-2.57,100,highly_bearish,37812277874085,NYSE,US,short_interest
2025-11-14,AAPL,11845,383647,132992,1369,34.67,305154557,611.18,5.37,65.69,0.53,2907683208,499284,6383,53217,13.87,3.21,100,highly_bearish,34441507598760,NASDAQ,US,short_interest
2025-11-17,AAPL,12253,307241,47342,631,15.41,249867124,653.98,3.36,47.28,-0.45,3909061537,382069,8000,19704,6.41,1.67,100,bearish,47897731012861,NASDAQ,US,short_interest
2025-11-18,AAPL,11822,1280039,411375,8215,32.14,89362460,65.73,0.62,66.12,-0.66,999952674,1359585,32337,75591,5.91,3.57,100,highly_bearish,11821440512028,NYSE,US,short_interest
2025-11-19,AAPL,12336,658776,273385,2205,41.5,164977538,279.04,3.26,74.96,0.68,1799301565,591239,11398,48025,7.29,-1.34,100,highly_bearish,22196184105840,NYSE,US,short_interest
2025-11-20,AAPL,12126,675063,77953,539,11.55,540082491,806.76,0.86,90.76,-0.98,3123137816,669443,15049,32833,4.86,2.72,100,bearish,37871169156816,NASDAQ,US,short_interest
